x,y,z,line
-15929,59,-19945,Yes I do   
-15929,60,-19945,do you have any questions  for me? 
-906,57,12504,Highway continues -Gbro08 2/14/17 We will be turning back to Z+ soon
-887,64,12441, Ender Chests  
-884,64,12437, Crystals  
-887,64,12437, Gapples  
-890,64,12441, Shovels  
-891,64,12437, Axes  
-893,59,12437,Unbreakable Fortune III  
-885,64,12440, Flint & Steel  
-894,64,12440,   
-889,64,12436, Totems  
-891,59,12436,Unbreakable Sword  
-893,63,12442,   
-894,59,12440,Unbreakable Fortune God  
-893,62,12442,   
-884,59,12437,Unbreakable Chestplates  
-887,59,12441,Unbreakable  Boots  
-892,59,12441,Unbreakable Silk God  
-889,59,12435, Elytra  
-893,65,12442,   
-884,64,12438, Ender Pearls  
-893,64,12442,   
-894,62,12441,   
-893,64,12438, Bows  
-886,59,12436,Unbreakable Helmets  
-885,59,12440,Unbreakable Leggings  
-872,60,12443,Twitty's  oCd  Tower 
-874,60,12491,RIP  Miku Chan  By: MiningMinecraft -itsShitee
-865,59,12488,Dom2798 was here  #TeamLucifer
-868,60,12506,Brewing Hut   
-859,61,12489,Beacons   
-819,59,12521,Unbreakable God Armor  
-819,59,12518, Kinorana God Armor 
-799,60,12359,R.I.P xTwitty's Skelo  Horse 
-798,59,12359,R.I.P Skelo Horse  
-16102,75,0,safe travels! -kildrio 11/5/19 
8206,58,4516,   
9028,57,-410,i just wanted shulker boxes ;-; -n3s
-10002,65,-126,DistantFoSho - -0/02/2019 -  
-10001,65,-126,nice -ultranite 2/8/19 
-10000,65,-126,Nice  Jarhead541 4/27/19
8780,102,-8856,2018-01-23 This end city had full loot. -HazMattMC
9188,52,-9023,Sorry I don't  play very often on this account. Are you around?
9189,55,-9020,GOODWILL TRADINGPOST BANNER 
9188,53,-9021,Raided by Goodwill aka you got stuff ... 
9188,53,-9023,Hello Goodwill!   
-9990,61,-10094,   
-9988,61,-10094,   
-9989,61,-10094,   
-10000,57,-10000,-10k/-10k BarrenDome was here 30Nov17
-2272,1,-673,there is no escape  
-2268,1,-557,"post this to r/2b2t and ill comment ""penis"" - lambo"
-2264,1,-556,Elytras are returning shortly  (>•w•)>
-2265,1,-557,Lol I had starved but im back now wi all ma gear rdy for elytra!
-2266,1,-557,StridersLight died   
8750,65,-1077,-engineerjosh 11-17-16 to 11-28-16
8749,63,-1072,but there some on that bout :) lol
8750,63,-1072,i kill all the  shulkers so yes i move 
-2055,58,-678,go green   
6161,57,-491,BURN THEM! BURN THEM ALL!  - LORD SIMIAN -
9028,61,-1843,11-28-16 1.11 is out!!!! :)
9028,61,-1844,i found you but i did not got if it so yes -e
-2081,34,-2003,"Tribute to 200 150 Closest base to 0,0 on 2b2t"
-2067,57,-1981,   
-2069,62,-1621,have a good day  
-2063,57,-1981,   
6322,60,-15535,"Good Luck, and Godspeed. "
8959,58,0,Scale model of hause's mother's vagina 
9001,61,420,You got to  9001 420 and all you got was a crafting table!
9000,60,421,now you have a God apple  
9040,58,539,Going to kill  myself Good bye world 
-2543,1,442,Hawkedonfonix 4/9/18 anyone around..... 
-2543,1,443,the end is so quiet and lonley... on to the next  city...
-2492,1,460,THERMODYNAMICS4 2 RENT BOAT TO SEE NOTHING
-2488,2,595,FUCK OFF NIGGERS I AM A BIOTECHNOLOGIST
-2490,2,598,FIT IS MY BITCH
-2481,1,607,   
-2490,2,594,THERMODYNAMICS4 I AM SO FRESH U CAN SUCK MY NUTS
-2491,2,595,GlowskiBroski was here - 2017  
-2482,4,609,nigger nigger nigger 
-2481,1,608,   
-2483,1,611,   
-2494,1,611,   
-2493,1,611,   
-2487,4,608,thermodynamics42 here lies  your mom 
-2485,4,608,fuck off BABBAJ YOU ARE MY BITCH
-10205,63,6095,"Shulkers killed by Breathfire Feb 07, 2017. "
6364,67,1,nice! just travelling executeINFIDELS 02/02/2019
6365,67,1,byrnsy's airship runway  12/9/2016
6414,137,380,TigerTeeth was here -12/3/16 
6414,137,382,Vets claim elytra! 7/14/16 -oViceroy -CasinoAddict
-2900,76,-2,-another newfag  
-2903,75,-1,  ~ A Newfag 
-2901,76,-2,"niggas i been here since 2017 this be my first time, cheers"
-2902,76,-2,  ~A way newerfag 
-2903,76,-2,i got here in less than a week... still no friends on here tho ;(
-2748,61,-295,Hide your base a bit better -zombietraitor :D
7025,61,-29,Damn I miss elytras- Shadow_Gamercat 
-10273,93,-12180,signsss   
-10271,93,-12181,hopefully the same assholes won't btfo these signs too
-10272,93,-12184,kek wtf is this box  
-10272,94,-12183,"going to explore a bit more, probably not too far "
-10270,93,-12181,lmfao i'll catch you  tmmrw 
-2902,76,2,Took me a day  gear up and get here ~Newfag
-2903,75,0,I wish I got to meet some cool people but this is The End.
-2903,75,1,I finally made it. After a year of walking this server alone.
-10475,60,867,Diamaralds   
-7024,57,-4319,Thanks for the Items need them -WolfiePS 
-7166,62,6047,Built by gradytehgreat  
-7164,62,6047,   
-7166,62,6049,   
-3062,57,13610,Is it safe? Mike_embed 2-17-2017 straight/narrow
-2735,57,13745,Follow the Yellow Brick Road 2-17-2017 Mike_embed
-2615,58,2017,*GlowskiBroski* Found Rusher's Location! 7/10/16
-6993,66,14352,MiningMC's Oasis Enjoy for all who travel this path
-3352,76,-2,end city this way 
-3334,63,-5484,Gataitai take this and continue pillaring out ok
-3332,64,-5475,HighVeLocity_ Cosy Hut Enjoy ur stay :)
-3333,63,-5484,remember my shift key is disabled af so pls u pillar out ill mine u blocks
-3490,57,-8068,"Also, been here searching for a week now. God damnit."
-3489,58,-8067,AND IT'S FUCKING EMPTY. ENJOY YOU FAGS. Sun_Wukon
-3488,57,-8069,HERE LIES THE MOST FUCKHUEG ISLAND IN THE  END
-3487,57,-8068,"NO, SERIOUSLY. THIS SHIT IS AT  LEAST 1K ACROSS 3K LONG"
-7094,57,4291,Par /\ ici   | | gros | |  moche | |   
-3456,67,-1476,SERIOUSLY DONT FUCKING DO IT!! -SerLomac
-3456,62,-1475,dont touch the  shulkers PLEASE -SerLomac
-3453,72,-1477,YOU HAVE BEEN WARNED well asked but ;) -SerLomac
-3276,60,-1376,Here lies random dead guy RIP in peses 
-7619,57,-5984,BEFORE LEAVING PREMESIS DO YOU HAVE: 
-7618,57,-5984,BRIDGE BLOCKS FOOD ARMOR AND GEAR SAFEWALK ON
-7625,54,-5931, ;) -SCOTT_FREE 
-7615,57,-5983,oh btw thanks for the bridge lol -blasttheghast
-7614,57,-5983,kek just randomly found this -Slimeyzilla & BillehBawb Dec 2016
-7616,57,-5984,Keep that pinky strong xD
-7659,115,-6589, SECRET AREA!  
-3579,60,-20340,"_Appendix is daddy  April 14, 2019"
-7573,62,-11129,I Finally Found One. The Elytra; Good Luck On Your Trip
-7572,62,-11129,A Little Going Away Gift  -Surviverkiller
-7573,61,-11128,Be Safe This Crazy World This Place Will Get To  You.
-7573,64,-11129,Here Is the Sight  Of the Famous Raided End City. 
-7572,64,-11129,A Witch You Relize Someone Has Been Here Before
-3418,119,1014,Elytra taken by Greg_Of_Borg 13th of July 2016
-7618,98,-14971,TOP KEK Idifee's Place EVERYONE ELSE LEAVE!
-7618,97,-14971,"Unless you have cookies, then you can stay if you have cookies."
-3199,58,1160,pizzaman024 420 stop dec 11 2016 DON'T FALL
-7249,57,-2589,Have fun with your science kit Mike embed 3-28-2017
-19497,61,-425,JudySmall 1/11/2018 We're a dog fucking cult.
-19495,61,-425,The Astral Order end outpost established 10/1/2018
-19496,61,-425, FronkTheHuman 1/9/18 
-19494,61,-425,GH0ST arrived 10/1/2018 
-7461,57,778,Welcome  Traveller HAHA -CKS098-
-7323,62,689,raided by pizzaman024 dec 12 2016 smoke 420
-7285,57,832,I build this road -CKS098-  
-10830,64,4590,08/03/2016 Shigame the faglord woz here
-10823,64,4578,André is le fagget  
-10822,63,4579,"3/08/2016 Elytra found There is still hope, faggot"
-10824,63,4579,HERE I FOUND THE ELYTRA YOU CRAVE
-11269,59,-6341,Mike_embed 2-24-2017 enjoy ! fol yel brk road
-19750,124,-3779,   
-19747,127,-3779,   
-19751,114,-3780,   
-19753,127,-3779,   
-3754,64,-1213,srgtfox raided this but left some shulkers for you !!!!
-3737,108,-1238,"Luxzhv Aug 6th, 2017 Time to suiside now, sorry Pred."
-7595,63,3263,This city is empty Enjoy the chest TerraNigrum 04/Ag/2016
-7598,62,3263,"I found 3 shulkers, got my first shulker chest"
-7598,63,3263,"If you can, leave some dirt to plant more trees TerraNigrum"
-7599,62,3263,<-- Not that empty. Wizzydeluxe 14/01/2017
-7599,63,3263,Left 10 dirt Cheers Wizzydeluxe 
-11627,58,-19496,"you leak, you loose. doop the toop"
-11435,62,6791,"My first dragon head. Feb 7, 2017. - Breathfire"
-11666,59,8269,The Dingus Farm   
-11674,60,8275,A rest stop for you fellow traveler 
-11675,60,8275,Made by Breathfire  
-11673,61,8277,"Created on Feb 8, 2017  "
-11674,61,8277,This is as far as I got. Leave a sign if you visit :)
-11673,59,8279,A gift for you | | V
-8172,61,-19092,Gsmack How did we get here 
-4041,57,14155,Fake it til u make it !  Mike_embed 2-17-2017 shulkers beware!
-3764,62,13837,Shulkers meet your doom! Mike_embed 2-17-2017
-19789,100,20546,"Awesomely weird, huh? MegaTrain 8/13/2017"
-11758,65,14191,i left some shitty iron gear in the  chests dont  waste ur time
-4090,65,2950,Scavanged by Nations 12/22/16 Don't bother.
-2046,58,-790,end is ded deminsion  
-2034,64,-760,"_Appendix was here  June 5, 2019"
-1998,63,-1447,yeet   
-1986,54,-1356,yes   
-1983,64,-1420,journey to 2k2k  
-1853,134,-1141,black man was here  
-12089,58,-6688,Byrnsy's end journey ended here. 11/29/2016
-4372,59,-1057,   
-4372,59,-1058,   
-4348,59,-1058,   
-4347,59,-1058,   
-1960,59,-1718,Armorsmith's log out K A A B A -*-
-1930,57,-1737,WARNING - You are about to enter the holiest place on 2b2t.
-1915,76,-2175,FLOOR 3   OG
-8012,60,3699,wat.  - Wizzydeluxe 14/01/2017
-1633,63,-3715,Please decorate and improve  2016
-1617,58,-3733,Take a rest Fish Regain Sanity -Lazzirus
-1622,59,-3737,Lemon Nation Outpost 1  
-1632,64,-3715,LemonBrothers was here  Feb 2017
-1631,63,-3715,Cabin #1  Enjoy 
-1963,1,510,dont grief   just take what  u need :)
-1933,1,24,hopefully  you fell  
-1748,1,21, im alone   :c
-1748,1,22, that's why I go  
-1748,1,23,the end is so lonely and deserted... 
-1748,1,19,its so different  from the  overworld 
-1748,1,20,Atleast these signs can give some hope of life.
-8692,111,-6062, o                          o --------------- 
-8676,127,-6062," Hyronix1 was here, Dec/26/2016"
-8684,107,-6062,^ Bottle of Levitation 
-8241,64,-8382,   
-8241,63,-8382,   
-8237,64,-8384,   
-8234,65,-8381,WolfiePS's end hut   
-8231,64,-8384,   
-8233,64,-8381,If you found  this good job . 
-1936,61,12043,Follow the Yellow Brick Road Mike_embed 2-17-2017
-1861,57,12314,Follow the Yellow Brick Road Mike_embed 2-17-2017
-1860,57,12314,Thanks mike! also where is the end city :/ -Gbro08 3/14/17
-11801,92,-2787,jacktherippa is an faggot  -cartman
-8557,66,-14610,ever wondered what happens to the blovks ende- rman steal?
-8558,65,-14610,househouse house1  was here 1 december2016
-8558,64,-14609,   
-8557,66,-14609,crynst1 built this mai 7 2016 
-8558,65,-14609,   
-8558,64,-14608,   
-4443,127,1406,Finally! -CKS098-  
-11802,127,7748,"Breathfire's first elytra raid Feb 8, 2017"
-4218,58,1540,"Enjoy the chest, food AND TREES TerraNigrum 04/Ag/2016"
-4220,58,1540,LmaoCooper was here. 5/23/19 
-4219,58,1540,GQRE was here.  3/12/18 
-4221,58,1540,"CKS098  was here HA, i am the 4th. 7/7/19"
-12232,59,13744,"dedicated to UrbanXRisk, who started this base. 26 Oct., 2016"
-12233,59,13744,"godspeed, Urban!   -L4L"
-12230,59,13744,eeemax was here 2017-01-17 searching for  elytra. cool base.
-12232,58,13744,(also ErakeMachine)  
-11783,127,14120,too late fuckwad  
-8234,65,9813,Herobrine summoned.  
-8212,57,1097,Damn  it takes me hours -CKS098- 
-497,2,-113,"jared2013 was here. Oct 21, 2017 2:32 PM EST"
-501,2,-127,And P529 duh  
-497,2,-114,Building with my friend Armorsmith P529 06.10.2017
-501,1,-127,Welcome to the Grand Mountain of Armorsmith! -*-
-497,2,-112,Cheese -maxtor 17/11/17 
-13,95,-131,deceased was here  2/14/2019
-421,61,-6902,best base  Namy_McNameface Jan 30th 2019
-421,69,-6901,BEST COORDS Namy_McNameface making carrots Jan 30 2019
-8690,88,1943,cartman was here on his flying machine & looted
-1,41,-7129,^ praise jesus  
-2,41,-6996,"Spectrax23 Sep. 12, 2019  "
-1,41,-6998,Eohot was here 6/28/19 The end is so quiet.
-2,41,-6997, 2019-10-03 IronException was here
-2,41,-6994,Its been a long time since i've last been in the end.
-2,41,-6995,This is a pretty cool milestone despite being griefed
-1,43,-6980,"The_Human_Guy's Shack of Succ. Welcome, Enjoy your stay!"
-1,41,-8001,x: 8k   
-1,41,-10001,10k and yet so   
-249,25,-10261,fuck off   
-253,25,-10250,Thx so much! For real man! R2bEEaton 12/4/16
-251,25,-10249, Emery 4/22/18 
-20071,37,-20097,   
-20069,37,-20097,   
-20070,37,-20097,   
-20067,63,-20092, settled 21Dec17 
-20076,61,-20092,entrance  | \/
-20067,58,-20092,   
-20068,58,-20092,   
-20057,38,-20088, pearls  
-20054,38,-20088, chorus flower  
-20063,38,-20088, shrubbery  
-20058,37,-20089, food  
-20057,39,-20088, pearls  
-20055,37,-20089, stonebrick  
-20054,39,-20088, chorus fruit  
-20061,37,-20089, end stone  
-20055,38,-20089, stone  
-20061,38,-20089, end stone  
-20058,38,-20089, wood  
-20055,39,-20089, cobblestone  
-20057,37,-20088, pearls  
-20054,37,-20088, purpur blocks  
-20061,39,-20089, end stone  
-20063,37,-20088, snow  
-20011,60,-20001,"Here lies at -20k, -20k, a 1:12.5 scale model of the ringworld"
-20011,60,-20003,be a symbol of the Ringworld and the Pyramid. 
-20011,60,-20002,The original exists somewhere in the overworld. Let the banner
-20010,61,-19996,BarrenDome visited 21Dec17 left echest
-19983,57,-19981,"Here lies a  Ringworld, at -20k,-20k "
-8555,147,4511,cartman  was here and took the head and elytra
-8776,86,-3,ButtBuilder9 was here 6/9/19 
-8706,57,-173,8/9/2019   
-8710,57,-172,Vaculite 24/08/17  
-8706,57,-174,The sign said take this sign so i took BadVibesF0rever
-8,58,-1806,sdasdsadw   
-220,62,-20464,Diagoporotins End Shack  
-221,58,-20462,   
-219,57,-20461,   
-219,57,-20462,   
-221,57,-20461,   
-219,58,-20462,   
-221,57,-20462,   
-2,75,-2499,WE LOVE YOU 1i_
-9185,60,-7349,Stairway to heaven 
-9183,60,-7349,Ill break steps when done  
-9162,63,-7315,Name Tags   
-9162,63,-7319,Saddles   
-9162,63,-7318,Water bottles   
-9162,63,-7317,Leather   
-9162,63,-7316,Bones   
-9162,62,-7316,Puffers   
-9162,62,-7315,Lily Pads   
-9162,62,-7313,Ink Sacks   
-9162,62,-7319,Salmon   
-9162,62,-7318,Fish   
-9162,62,-7317,Clown fish   
-9122,88,-7290, SS SCOTT_FREE  
-501,255,0,"OpWolfe, NEW2 and Azzy were here 9/11/2019"
-500,255,0,i like dick and balls in my ass uwu 9/11 new2
-473,221,23,That's hot -New2 9/11/19 
-473,221,24,Gucci Gang was raped here 7/3/2019 
-466,221,24,Rip S.S Space Ducky  
-229,2,26,tree of hope 8/31/19  
-239,2,28,thanks for the  spawners leecx8959 29/8/19
-239,2,30,can't kill enderdragon 8/31/19 
-287,58,7552,Follow the yellow brick road ! MIke_embed 2-12-2017
-188,62,7479,have some stuff MIke_embed 2-12-2017 my bod is closeby
-187,62,7479,"when i fall off one of these yellow brick roads, dorothy"
-12708,95,-20092,crynest1 died here  
-12710,62,-20091,taken over by Idifee 11/7/2016 
-12709,61,-20093,DONT PANIC!! I won't reveal your coords. 
-12710,62,-20092,NEW FoB  1.10 waiting for  shulkers boi
-12708,63,-20090,crynest1 was here mai 7 2016 
-12709,61,-20091,Kryties was here. 1st Dec. 2016
-12709,61,-20092,Better Dead than Smeg!
-12707,62,-20090,enjoy the free stuff -crynest1 
-12707,63,-20090,if i am lucky i am never comming  bacj here creynest1
-208,58,8282,Follow the Yellow Brick Road Mike_embed 2-12-2017
-459,57,9159,Follow the Yellow Brick ROad Mike_embed 2-12-2017
-50,57,9413,Follow the  yellow brick road -Gbro08 2/20/17
-16,57,11209,Highway continues -Gbro08 3/14/17 
-72,57,12176,Highway stays alive! -Gbro08 2/14/17 
-71,57,12239,Don't go this way it's a dead end  -Gbro08 3/14/17
-12721,51,21,i have no fucking idea how to get back to the overworld so im  banking as much as
-12722,51,20,I possibly can in the  enderchest and going back to spawn... by death... -bbay
-12722,50,19,goodbye cruel world  1/4/18 
-14,59,14985,stop looking in the toilet  
-24,65,18311,crystal waz here peaces keeperJr 
-12386,63,10337,"city, ~300 blocks north from here.  17/01/2017"
-12387,63,10337,Wizzydeluxe got his second elytra here. First one in prev.
-79,57,18796,xrystals houses   
-153,70,2196, instinctual on top 
-8744,110,5877, Gadget64 was here 7/19/19 m/d/y
-8930,160,6148,Cleaned out by breathfire Feb 07 2017 
-8906,66,6152,"Flagged and sended by  Breathfire Feb 7, 2017"
-8906,66,6153,10/10 on  difficulty scale. Went to 1/2 HP but survived
-8992,56,8052,You suck.   
-12359,58,13947,please do not place water here (anywhere on isle
-12359,58,13948,it broke :(  
-12300,5,13966,   
-12298,4,13974,   
-12301,2,13971,   
-12301,5,13974,   
-12300,6,13974,   
-12302,4,13974,   
-12300,2,13971,   
-12300,5,13974,   
-12299,6,13974,   
-12299,2,13971,   
-12299,5,13974,   
-12301,6,13974,   
-391,62,4614,ELYTRA   
-4995,75,-1,WHICH WAY WILL YOU GO???  
-4875,62,-423,let's do this baby -blasttheghast 
-4830,48,-446,man cave   
-4705,64,-5699,took what i wanted  the rest is yours
-4704,64,-5699,good luck out here friend  -toro May 3 '16
-4703,64,-5699,GQRE was here.  3/12/18 
-5062,53,-6663,rootbeerguy1212 autofished here 27 Feb 2017 
-13254,63,-4757,House of Cobble   
-13235,62,-4758,finished items   
-13235,62,-4754,lapis and items to enchant  
-13227,60,-4750,I have a pearl set to the left and past the ruins. 
-13227,61,-4751,Fuffer's  fishy business 
-13227,61,-4734,Tavux's slippery fish station 
-13223,60,-4729,We can officially call ourselves packrats. 
-13236,59,-5165,jacktherippa is an faggot  
-13240,57,-5160,cartman's autism hut  
-8759,57,2106,fuck flying  - cartman 
-8760,66,2813,"I recommend you take extra blocks, pickaxes, enderpearls"
-8761,66,2813,and food as well so you can navigate the end once you land.
-8759,65,2813,"To turn it on,  break the  obsidian, sit in the minecart"
-8758,66,2813,Cartman's Flying machine!  
-8760,64,2813,actually fuck you im riding it - cartman 
-8759,66,2813,Req'd items to operate: Flint&Steal Obsidian & Water
-8758,65,2813, Operating:  
-8771,61,4255,<-------- This way for an end city (raided).
-8774,61,4258,"Flying machine  landed here. Please leave it, I'm hopping back"
-8772,60,4258,End cities found so far: 4 Elytras obtained so far: 2
-8774,60,4258,in it tommorow.  -written 4-6-16- 
-8772,61,4258,Cartman's End flyway pitstop! 
-12995,59,-11844,Made by  00XP Take Whatever  you want
-4998,76,-3489,Razvii22 Was Here 
-4999,75,-3492,How do I start this massive machine? -DecadentDeity
-4999,75,-3491,I'd be happy to show you how it works 1i_
-4998,76,-3488,mikeioannina was here March 26. 2019 
-4995,75,1,"Welcome, tired traveler! You have come to a cross-roads."
-4760,63,13729,"Bramblery's good Christian home. Went insane here. Feb. 24, 2017"
-5554,62,-168,siggidiggi1 9. dec 2016  
-5261,65,-5819,BarrenDome was here 27Jun19 
-12916,116,17042,thanks Notch! Mike_embed 2-19-2017 muh first elytra
-5377,66,-9874,Salmon   
-5378,66,-9874,Bows   
-5379,66,-9874,FISHING RodS  
-5377,66,-9876,MISC   
-5380,70,-9878,   
-5377,66,-9879,MISC   
-5376,66,-9874,Fish   
-5367,63,-9867,sanskritguy was here 1 April 2017 Nice fishing hole!
-5368,63,-9867,"nice base, I didnt take much, -househouse house1"
-5362,63,-9868,Fare thee well traveller. 21/07/2016 _Lemmy_
-5363,63,-9868,I have found my Elytra - these supplies may see you through.
-5362,64,-9868,"@Lemmy If you ever come back, you gave me those coords"
-5363,64,-9868,I arrvied here it just took forever and i wanted to see if
-5364,64,-9868,you lied about the coords :D MSK_Fiona
-5556,62,-2122,grinder down here | \/
-5562,18,-2121,1i_'s End Grinder  Dec 2017
-5558,18,-2122,   
-5632,62,5646,"thank you good sir  Feb14,2018"
-5631,62,5646,"Good Luck, Good Night, and Godspeed."
-5194,57,14403,"Follow the Yellow Brick Road, Mike_embed 2-17-2017"
-5257,57,2880,"Nothing to see this way, go beck homosex "
-5857,59,-6488,OMFG THX   
-5698,122,-1322,"if you find those are yours, a litte gift from uta1999 15/01/2017"
-5697,115,-1313,I got it  -jay 
-5697,121,-1323,"Here, lays u1999 15/01/2017  "
-5697,124,-1301,"If you made it so  far, you are the  lucky one 15/01/2017"
-5958,172,29,livelion3 says: lets have e-sex! 3/4/17
-5637,61,5642,"nigre   17 april, 2016"
-6017,65,7751,<3 ran out of food thanks for everything. Re_Lay
-6019,66,7754,portal was griefd. Tomorow the 1.11 update hits and we will move on.
-6017,66,7752,"--=EastMarch=-- ""We Will Stand The Test of Time"""
-6017,66,7753,GanjMeisterBlock  Master_Builder 
-6018,66,7754,"Day 3 in the End We made it in mere hours  before the ""last"""
-5774,65,11186,STASH of  suab_a_kal + HadLar est late 2018
-5997,57,13778,follow the Yellow Brick Road Dorothy Mike_embed
-6358,116,10804,pumpa got his first elytra here sept 11th 2017
-6369,63,15454,Thanks for the Elytra! Bt_bt May 17th 2017
-7009,136,-8021,Roblin was here 2016-July-16  
-7009,136,-8022,"nothing explored further out, good luck fellow traveller"
-7008,135,-8023,<------sucks on FiTs Left NUT Lmfao 
