x,y,z,line
-18362,62,-8989,yarnamite's idfk you decide 
-18361,68,-8967,Welcome To  Outa Sbace 
-18363,66,-8967,le Pheanom has arrived  28-aug-2019
-18362,66,-8967,"el fin.  -mattvtd Aug 27, 2019"
-18360,68,-8967,HermeticLock was here. Very epic indeed.
-18361,66,-8967, arrived August 27. 2019 - Terbin
-18359,68,-8967,   
-18360,66,-8967,yarnamite is here as of 28/8/19 '.\
-18364,68,-8967,   
-18363,68,-8967,ufocrossing owo 8.26.19 
-18362,68,-8967,SpawnMason Base Founded 26 August 2019
-18364,66,-8967,Finstaa Joined the Party  28-aug-2019
-18360,65,-8967,v999 was here 27th aug 2019 
-18359,65,-8967,InfernoPickaxe was here 8/26/19 
-18362,67,-8967,"Wailn was here  Aug 27, 2019 This is the ..."
-18364,65,-8967,Ello :)  Giggs Visited 28th Aug 2019
-18361,67,-8967,Jordanl666 26 August 2019 Long live the U.E.A.G ;)
-18363,65,-8967,   
-18360,67,-8967,"OverFloyd is here and still kicking :^) august 27, 2019"
-18362,65,-8967,villicool112 arrived 26th Aug. 2019 Crafting table ftw
-18359,67,-8967,Dielotai still smibing high 420 endblazing 
-18361,65,-8967,   
-18364,67,-8967,MrDirtti was here 8/27/19 finland doesn't exist
-18363,67,-8967, Negative_Entropy 28 August 2019 
-18359,66,-8967,biggus waz here.  28th aug 2019 
-18359,4,-8952,  cuck chamber   
-18345,66,-8917,Now Alowes Blacks!  
-18325,59,-8986,Worst AFK room ever but it works
-18314,67,-8926,What god sees  <-- 
-18248,64,-9121,it doesnt even matter  
-18206,12,-9025,Let go of your earthly tethers. Enter the void. 
-18206,12,-9022,"Empty, ande become wind. "
3211,101,-1224,"Breathfire was here. Feb 3, 2017. Got 1x d horse armor"
3210,101,-1225,Lerry_t 31may2018 took your banner 
11709,61,13173,tumorous was her nov 11th  2016 
11708,61,13174,BobRock was here 8 Dec 2016
11633,64,13830,My head hurts but gotta get those shulker boxes
11633,64,13829,Ykky was here 6/12/2016  
3160,35,-2540,omfg did some  one try this --- NOOB 
3263,141,-2678,Prosectious was here 15/10/2016 
3534,64,-3375,Jared is the biggest cunt on 2b2t 
3530,64,-3375,VoCo are faggots 
3427,62,8678,All made in 2tps  by  Geogamingyt 
3427,62,8677,Visited by niels241 in 20tps  dec 9 2016
3116,59,1519,_Rifter_ was here 27/08/17 
3116,58,1518,Masogir was here  27/08/17
3116,58,1520,Slimeontime Was kinda here 27/08/17 
12049,75,-1,please stand  for a second and stare into the infinite void
15154,63,106,Who found all my  stuff. Erazael back 11/5/17
15153,63,106,My first death in space. Kudos to the lucky bastard 
3756,60,-7649,   
3758,32,-7649,   
3758,33,-7649,   
3756,49,-7649,   
3756,50,-7649,   
3756,40,-7649,   
3756,41,-7649,           
3756,59,-7649,   
3762,60,-7643,   
3763,60,-7643,   
4057,63,-16618,"by the time you read this, hillary clinton will be president."
4057,62,-16618,Seems someone was ahead of themselves! - ColdDeck45
4058,63,-16618,<-Wrong Trump won (god help us) Co ter13 4 jan 2016
3614,64,-17575,End Crystals   
3611,64,-17575,Diamond Blocks   
3608,60,-17581,Chestplates   
3608,59,-17581,Pickaxes   
3608,66,-17581,Helmets   
3614,61,-17575,God Apples   
3611,61,-17575,End Crystals   
3608,65,-17581,Chestplates   
3614,60,-17575,God Apples   
3611,60,-17575,End Crystals   
3608,60,-17575,Ender Chests   
3614,64,-17577,Hello This is deathmonkey I HAVE RETURNED THX for not greif
3614,59,-17575,God Apples   
3611,59,-17575,End Crystals   
3608,59,-17575,Ender Chests   
3614,66,-17575,End Crystals   
3611,66,-17575,Dragon Heads   
3608,66,-17575,Lava Buckets   
3614,65,-17575,End Crystals   
3611,65,-17575,Ender Pearls   
3608,61,-17581,Helmets   
3628,58,-17592,EXTRAS   
3628,60,-17592,MENDIN BOOKS / WOOD 
3617,60,-17575,God Apples   
3617,64,-17575,Iron Blocks   
3617,66,-17575,Swords   
3616,60,-17581,Boots   
3616,66,-17581,Pants   
3617,59,-17575,God Apples   
3617,61,-17575,God Apples   
3616,59,-17581,Elytra   
3617,65,-17575,Bows   
3616,61,-17581,Leggings   
3679,60,-17433,Storm_Bacca's Dupe Stash  
3682,60,-17433,Storm_Bacca's Dupe Stash  
3681,60,-17430,Cap   
3680,60,-17429,Swords   
3681,59,-17430,Jackets   
3680,59,-17429,Obsidian   
3681,60,-17427,Pants   
3680,60,-17426,Storm's Gapples   
3681,59,-17427,Boots   
3680,59,-17426,Steak   
1942,45,-6099,xsyconix/Nemac   
1942,46,-6100,Society Main End Base Founder SonEasterZowobie
1942,45,-6101,Edgelord_exe   
1942,45,-6100,soggier/Sogalt   
12049,75,0,ThE VoIcEs TheRe CalLiNg My NAmE i MuSt jUmP
-18482,63,-10766,raided suck it  popbob
1987,168,-12762,~Xopra Taprman  
1986,162,-12841,Ezpz Elytra ~Xopra ~Taprman 
11934,64,12369,topkek -dotsoa  
11970,58,12322,This is where it all started -TigerTeeth 12/4/16
1723,62,-3012,why would anyone need so many comparators?? MegaTrain 8/2017
1640,46,-3547,can you believe i found this shit on the ground 
1642,46,-3548,after leaving this alt here for 3 months... 
1643,46,-3547,-Fre   
1737,6,504,DONT READ THIS SIGN
1733,3,504,your life was a sad mistake 
2003,254,0, FoC thanks for  this stuff! - loNAMEksy
1538,45,901,Go away  Fits Place ( Fit Fan MrPanda 
1741,1,520,e   
1755,1,514,fuck this  banner  
1755,1,513,fuck this banner  
1755,1,512,good fuel   source 
1759,1,809,nikag12  08/01/2019  
1755,2,902,usage: swim up the wa- terfall and lo- ok at endmen
1749,2,903,Gohd was here -Gohd 5/6/2017 
1757,2,902,problems: Endermen some- times survive. 
1696,63,7436,raided by Bold  
1955,127,1293,Jukepolice and ManVann were here on  27th of April
1929,58,1789,Thanks -Uberkist 8/1/19 
4596,58,-10325,RIP ColdDeck45(FP) 2016/10/22 The Hunt
1837,79,2495, My  
1838,81,2492, Niggers  
1837,81,2495, Anus  
1842,73,2491,   
1842,73,2492,   
1842,73,2493,   
1842,73,2494,   
1842,73,2489,s   
1842,73,2490,   
4550,62,-14310,Here lies Little_Toro 2016/10/23 It was a 
4551,62,-14310,"valiant effort for a bedbomb. You win some,  you lose some."
1548,61,3095,"hi tristan, blo me -mrwalker4  "
4239,70,-18407,   
4239,66,-18407,    
4239,68,-18407,   
4239,62,-18407,   
4236,64,-18402,P9WS7 visited 5th Jan 2017 Happy New Year! Sad no loot :(
4237,64,-18402, 18/11/2016 never forgetti 
4239,64,-18407,   
4235,64,-18402,Correction Found these mine carts with chest :)
4239,63,-18402,Abandoned on 28/11/2016 after the 1.11 update hit 2b2t.
4238,64,-18402,zrpZdS/9w7yJuFC M7sEciLMnpC+kTR ZApdE2Q7INI6g= 
4238,63,-18402,Most items were transported home via Shulker Box and Ender Chest.
4240,64,-18402,Found 29/11/2016 Thanks!! -ColdDeck45
-14137,57,670,Herd u were deleting  stashes hause.... Love ya -MrMcyeet
-14097,58,618,Gear for me if i  need it... Kinda like a resupply station!
-14108,58,626,BREAK THIS IF YOU NEED A SIGN . .
-14107,59,626,EDIT. Hause is deleting  stashes... had to move :(  :(  :( f.u.  hause
-14106,59,626,At least leave a  sign if you do stop by! -MrMcyeet
-14105,59,626,"Do What you will, My stuff is urs, greif it if you must Guess i cant stop u"
-14104,59,626," Hey, You found My  End Stash! "
-14102,58,626,BREAK THIS IF YOU NEED A SIGN . .
4200,57,-3832,PandaPimp was here  
4446,60,381,r1p xdd   
4445,61,379,xddddddddd   
4468,65,362,   
4494,136,1045,i hope cannibals eat your genitals like in cannibal holocaust bitch!
4494,136,1053,Awww the stupid rusher faggot left me a head thanks faggot!
4240,61,4575,"No chests, just shulkers 7/12/2016     - Anvinia"
12673,64,12874,here once lay FitMc's old flying machine from before 1.9
12673,64,12873,claimed by  and used for  further explorion
12673,63,12873,by  Argonaut2468~  11/12/2016
-14356,117,-1821,SafeAirplane911 is a nigger  
13295,62,-6962,-janne1204   
13296,62,-6963,Hey there! Pls msg me if you see my sign Dec 10 2016
4999,86,2475,<--- <---  
4999,86,2473,--> -->  
12908,67,-2128,StoneHammers was here winter of 2016 
12907,67,-2128,The_ GenderBender was here June 22 2017
13117,60,100,like really wondering who will find this mc_michiel
13117,61,100,Found your stuff Its burned now -Link and Demon 29/11/16 00:43
37,58,-365,Tune up before the long trip? Mike_embed 6-12-2018
46,1,-148, F -mcillanator 20 April 2019
46,1,-147,"Rest in peace -mikeioannina March 26, 2019 "
105,49,-375,Die   
105,49,-359,I said dont turn around  
105,49,-331,Die   
105,49,-299,Die.   
105,49,-264,Dont turn around :)  
105,50,-248,Die.   
114,255,-9,ball sack   
266,19,-2,RusherBot /kill'd here  
282,49,-494,Shieet soz  Kind regards -NotSoMrStylish
292,51,-486, Lyrdl was here 14/09/2017 It was shit
292,51,-485,Shiieet soz   -NotSoMrStylish
292,50,-486,"Haddock here on June 03, 2016 That's helpful Gave jungle tree"
292,50,-485,Storm_Bacca  Was here 11.17.16 Very Helpful bas
292,49,-485,dotsoa passed through 1/1/17 
292,50,-484, -UnofficalSpeed 16 feb 17 Ty
292,50,-483,Bluecreeperboy Was Here Amazing And Helpful Base Replant!
336,49,-494, Birch Tree Farm 
352,50,-495,   
353,49,-494,   
13180,65,7393,   
13180,65,7394,   
